Adj Close,Close,High,Low,Open,Volume
AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
24.373964309692383,27.332500457763672,27.860000610351562,26.837499618530273,27.84749984741211,212818400
23.68730354309082,26.5625,27.162500381469727,26.352500915527344,27.072500228881836,257142000
23.68953514099121,26.565000534057617,26.857500076293945,26.157499313354492,26.635000228881836,263188400
24.021717071533203,26.9375,27.049999237060547,26.674999237060547,26.799999237060547,160423600
24.944679260253906,27.97249984741211,28.037500381469727,27.174999237060547,27.3075008392334,237458000
24.971437454223633,28.002500534057617,28.3125,27.552499771118164,28.167499542236328,214798000
24.356124877929688,27.3125,28.157499313354492,27.200000762939453,28.149999618530273,198603200
24.572376251220703,27.55500030517578,28.200000762939453,27.227500915527344,27.857500076293945,268367600
24.478734970092773,27.450000762939453,27.622499465942383,27.125,27.260000228881836,195826400
23.81437873840332,26.704999923706055,27.514999389648438,26.665000915527344,27.5,240056000
23.62933921813965,26.497499465942383,26.895000457763672,26.299999237060547,26.75749969482422,314053200
24.237964630126953,27.18000030517578,27.24250030517578,26.625,26.959999084472656,199599600
24.423006057739258,27.387500762939453,27.764999389648438,27.0674991607666,27.237499237060547,194303600
25.05838394165039,28.100000381469727,28.11750030517578,27.43000030517578,27.565000534057617,215185600
25.18768882751465,28.2450008392334,28.4375,27.88249969482422,28.075000762939453,185859200
25.21443748474121,28.274999618530273,28.59000015258789,28.200000762939453,28.434999465942383,222460000
24.33160400390625,27.28499984741211,28.1200008392334,27.25749969482422,28.104999542236328,382274800
25.707130432128906,28.827499389648438,29.530000686645508,28.827499389648438,29.407499313354492,585908400
26.507490158081055,29.725000381469727,29.797500610351562,28.889999389648438,29.079999923706055,337745600
26.119571685791016,29.290000915527344,30.0,29.212499618530273,29.600000381469727,334982000
26.44729232788086,29.657499313354492,29.792499542236328,29.020000457763672,29.512500762939453,250956400
26.45175552368164,29.662500381469727,29.772499084472656,29.40250015258789,29.625,207662800
26.654624938964844,29.889999389648438,30.127500534057617,29.577499389648438,29.625,280598800
26.844877243041992,29.985000610351562,30.0575008392334,29.8125,30.0049991607666,168984800
26.618816375732422,29.732500076293945,30.0625,29.612499237060547,30.0049991607666,174826400
26.795635223388672,29.93000030517578,29.959999084472656,29.607500076293945,29.637500762939453,155559200
27.31041717529297,30.5049991607666,30.537500381469727,30.040000915527344,30.042499542236328,248034000
27.950542449951172,31.219999313354492,31.229999542236328,30.625,30.6924991607666,294247200
28.30417251586914,31.614999771118164,31.8700008392334,31.392499923706055,31.514999389648438,297898000
28.442943572998047,31.770000457763672,31.81999969482422,31.412500381469727,31.81999969482422,217088800
28.610809326171875,31.957500457763672,32.220001220703125,31.729999542236328,31.872499465942383,252609600
28.81001091003418,32.18000030517578,32.19499969482422,31.862499237060547,31.907499313354492,179566800
28.74957847595215,32.11249923706055,32.25749969482422,32.08250045776367,32.119998931884766,149449600
28.984586715698242,32.375,32.375,32.01250076293945,32.154998779296875,195793600
29.76795196533203,33.25,33.25,32.415000915527344,32.505001068115234,283896400
29.582183837890625,33.04249954223633,33.400001525878906,32.79249954223633,33.23500061035156,276912400
28.82567596435547,32.1974983215332,32.900001525878906,32.037498474121094,32.88999938964844,298846800
29.190500259399414,32.60499954223633,32.717498779296875,31.65250015258789,32.1974983215332,365150000
28.751815795898438,32.1150016784668,32.64250183105469,32.060001373291016,32.5,248059200
28.892820358276367,32.272499084472656,32.56999969482422,32.07500076293945,32.3125,192386800
28.953258514404297,32.34000015258789,32.380001068115234,32.022499084472656,32.2400016784668,151265200
28.76972198486328,32.1349983215332,32.38999938964844,32.08000183105469,32.275001525878906,126665200
28.292987823486328,31.602500915527344,32.1875,31.440000534057617,32.14500045776367,226068400
28.335512161254883,31.649999618530273,32.342498779296875,31.565000534057617,32.099998474121094,291368400
28.456375122070312,31.78499984741211,32.39250183105469,31.264999389648438,31.989999771118164,354114000
27.867727279663086,31.127500534057617,31.80500030517578,30.950000762939453,31.602500915527344,275426400
27.359664916992188,30.559999465942383,31.1924991607666,30.52750015258789,31.1875,275756000
27.85430335998535,31.112499237060547,31.225000381469727,30.407499313354492,30.577499389648438,193450800
27.661813735961914,30.897499084472656,31.350000381469727,30.645000457763672,31.100000381469727,207309200
27.966209411621094,31.237499237060547,31.237499237060547,30.717500686645508,30.969999313354492,143497200
28.433988571166992,31.760000228881836,31.829999923706055,31.412500381469727,31.475000381469727,204092400
28.754058837890625,32.11750030517578,32.290000915527344,31.592500686645508,31.75,261083600
28.53695297241211,31.875,32.3125,31.850000381469727,32.1875,183238000
28.17884063720703,31.475000381469727,32.099998474121094,31.290000915527344,32.0625,274780400
28.472034454345703,31.802499771118164,31.962499618530273,31.6299991607666,31.780000686645508,150838800
28.355655670166016,31.672500610351562,32.0099983215332,31.639999389648438,31.8075008392334,131369200
27.614805221557617,30.844999313354492,31.704999923706055,30.844999313354492,31.635000228881836,206620800
27.807292938232422,31.059999465942383,31.219999313354492,30.649999618530273,30.690000534057617,190291600
27.585716247558594,30.8125,31.174999237060547,30.727500915527344,31.142499923706055,158184800
28.284032821655273,31.592500686645508,31.600000381469727,31.0,31.012500762939453,188398800
27.849824905395508,31.107500076293945,31.622499465942383,31.09000015258789,31.522499084472656,168362400
27.809534072875977,31.0625,31.280000686645508,30.774999618530273,31.204999923706055,162485600
28.04901885986328,31.329999923706055,31.389999389648438,31.047500610351562,31.25749969482422,128880400
28.503374099731445,31.837499618530273,31.877500534057617,31.082500457763672,31.11750030517578,148776000
